Scheme_Name	Asset_Value
INF179KA1JE0	HDFC Banking and PSU Debt Fund - IDCW Option
INF179KA1JB6	HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan
INF917K01HL7	HSBC Banking and PSU Debt Fund - Direct Daily IDCW
-	HSBC Banking and PSU Debt Fund - Direct Growth
INF917K01HI3	HSBC Banking and PSU Debt Fund - Direct Monthly IDCW
INF917K01HK9	HSBC Banking and PSU Debt Fund - Direct Weekly IDCW
INF677K01AF4	HSBC Banking and PSU Debt Fund - Regular Daily IDCW
-	HSBC Banking and PSU Debt Fund - Regular Growth
INF677K01AJ6	HSBC Banking and PSU Debt Fund - Regular Monthly IDCW
INF917K01HM5	HSBC Banking and PSU Debt Fund - Regular Weekly IDCW
INF109K01RV9	ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW
INF109K01RU1	ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW
-	ICICI Prudential Banking and PSU Debt Fund - Bonus
INF109K01Z97	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW
-	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth
INF109K012A2	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW
INF109K014A8	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW
-	ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus
INF109KA1M88	ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option
-	ICICI Prudential Banking and PSU Debt Fund - Growth
INF109K01YD3	ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW
INF109KA1M62	ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option
INF109K01JM5	ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend
-	ICICI Prudential Banking and PSU Debt Fund Retail Growth
INF109K01IJ3	ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend
INF205K01JX8	Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)
-	Invesco India Banking and PSU Fund - Direct Plan -  Growth Option
INF205K01KS6	Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)
INF205K01KV0	Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)
-	Invesco India Banking and PSU Fund - Growth Option
INF205K01JY6	Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)
-	ITI Banking & PSU Debt Fund - Direct Plan - Growth Option
INF00XX01887	ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option
-	ITI Banking & PSU Debt Fund - Regular Plan - Growth Option
INF00XX01853	ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option
INF174K01FR6	Kotak Banking and PSU Debt - Annual Dividend
INF174K01SD9	Kotak Banking and PSU Debt - Daily Dividend Reinvestment
-	Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment
-	Kotak Banking and PSU Debt - Growth
INF174K01FP0	Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option
INF174K01KJ3	Kotak Banking and PSU Debt Direct - Annual Dividend
-	Kotak Banking and PSU Debt Direct - Growth
-	Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option
INF767K01GM6	LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW
-	LIC MF Banking & PSU Fund-Direct Plan-Growth
INF767K01GN4	LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW
INF767K01GO2	LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW
INF767K01527	LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW
-	LIC MF Banking & PSU Fund-Regular Plan-Growth
INF767K01550	LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW
INF767K01576	LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW
-	Mirae Asset Banking and PSU Fund - Direct Plan - Growth
INF769K01FZ6	Mirae Asset Banking and PSU Fund - Direct Plan - IDCW
-	Mirae Asset Banking and PSU Fund - Regular Plan - Growth
INF769K01FW3	Mirae Asset Banking and PSU Fund - Regular plan - IDCW
-	Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option
-	Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option
-	Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option
-	Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option
INF204KA1U87	NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option
INF204KA1V45	NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option
INF204KA1V03	NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option
INF204KA1V29	NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option
INF204KA1T80	NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option
INF204KA1U46	NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option
INF204KA1U04	NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option
INF204KA1U20	NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option
INF200K01V16	SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)
-	SBI BANKING & PSU FUND - Direct Plan - Growth
